2026-03-07 15:34:57.030 | INFO     | pipeline.run_pipeline:step_setup_db:54 - 📦 Step 0: Setting up database...
2026-03-07 15:34:57.035 | SUCCESS  | pipeline.run_pipeline:step_setup_db:58 -   ✅ Database ready
2026-03-07 15:34:57.035 | INFO     | pipeline.run_pipeline:step_scrape_naukri:66 - 🔍 Step 1: Scraping Naukri...
2026-03-07 15:34:57.178 | ERROR    | pipeline.run_pipeline:step_scrape_naukri:87 -   ❌ Naukri step failed: scrape_naukri_apify() got an unexpected keyword argument 'max_results_per_city'
2026-03-07 15:34:57.178 | INFO     | pipeline.run_pipeline:step_scrape_linkedin:93 - 🔍 Step 2: Scraping LinkedIn...
2026-03-07 15:34:57.447 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'BPO' in Mumbai
2026-03-07 15:34:58.975 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ BPO in Mumbai: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:34:58.976 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'customer support' in Mumbai
2026-03-07 15:34:59.286 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ customer support in Mumbai: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:34:59.287 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'data analyst' in Mumbai
2026-03-07 15:34:59.599 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ data analyst in Mumbai: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:34:59.599 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'software developer' in Mumbai
2026-03-07 15:35:00.011 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ software developer in Mumbai: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:00.012 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'digital marketing' in Mumbai
2026-03-07 15:35:00.609 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ digital marketing in Mumbai: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:00.610 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'content writer' in Mumbai
2026-03-07 15:35:00.921 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ content writer in Mumbai: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:00.921 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'HR executive' in Mumbai
2026-03-07 15:35:01.231 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ HR executive in Mumbai: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:01.232 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'BPO' in Delhi
2026-03-07 15:35:01.539 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ BPO in Delhi: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:01.540 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'customer support' in Delhi
2026-03-07 15:35:01.859 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ customer support in Delhi: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:01.860 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'data analyst' in Delhi
2026-03-07 15:35:02.188 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ data analyst in Delhi: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
2026-03-07 15:35:02.189 | INFO     | scrapers.linkedin_scraper:scrape_linkedin_apify:86 - 🔍 LinkedIn: 'software developer' in Delhi
2026-03-07 15:35:02.479 | ERROR    | scrapers.linkedin_scraper:scrape_linkedin_apify:108 -   ❌ software developer in Delhi: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/BHzefUZlZRKWxkTck
